ConstMat,Code1,Code2,Code3
AD,-,-,-
M,NC,C,-
M1,NC,C,-
M2,NC,C,-
M3,NC,C,-
M4,NC,C,-
RM,NC,C,-
RC,NC,LC,HC
RC1,NC,LC,HC
RC11,NC,LC,HC
RC12,NC,LC,HC
RC2,NC,LC,HC
RC3,NC,LC,HC
PC,NC,LC,HC
PC1,NC,LC,HC
PC2,NC,LC,HC
PC3,NC,LC,HC
S,NC,LC,HC
S1,NC,LC,HC
S2,NC,LC,HC
S3,NC,LC,HC
S4,NC,LC,HC
S5,NC,LC,HC
MC,NC,C,-
W,NC,C,-
W1,NC,C,-
W2,NC,C,-
W3,NC,C,-
UNK,NC,LC,HC
POW_OLG,-,-,-
POW_SOL,-,-,-
POW_WIND,-,-,-
POW_COAL,-,-,-
POW_HYD,-,-,-
POW_GAS,-,-,-
POW_OIL,-,-,-
POW_BIO,-,-,-
POW_WAS,-,-,-
POW_GEO,-,-,-
AIR,-,-,-
PRT,-,-,-
RAIL,-,-,-
ROAD,-,-,-
