CUL	LONGITUDE	LATITUDE	NAME
1001	19.7978489	41.3172225	Zyra Posta Tirana 5
1002	19.8185323	41.3279457	Zyra Posta Tirana 26
1003	19.8185323	41.3279457	Zyra Posta Tirana 13
1004	19.8185323	41.3279457	Zyra Posta Tirana 18
1005	19.8185323	41.3279457	Zyra Posta Tirana 14
1006	19.8185323	41.3279457	Zyra Posta Tirana 22
1007	19.8196568	41.328765	Zyra Posta Tirana 10
1008	19.8185323	41.3279457	Zyra Posta Tirana 30
1009	19.8185323	41.3279457	Zyra Posta Tirana 46
1010	19.851001	41.3269075	Zyra Posta Tirana 1
1011	19.8185323	41.3279457	Zyra Posta Tirana 29
1012	19.8185323	41.3279457	Zyra Posta Tirana 19
1013	19.8185323	41.3279457	Zyra Posta Tirana 24
1014	19.8185323	41.3279457	Zyra Posta Tirana 27
1015	19.8185323	41.3279457	Zyra Posta Tirana 32
1016	19.8414937	41.351506	Zyra Posta Tirana 4
1017	19.8465281	41.3415049	Zyra Posta Tirana 3
1018	19.8185323	41.3279457	Zyra Posta Tirana 31
1019	19.8250896	41.3455321	Zyra Posta Tirana 8
1020	19.8185323	41.3279457	Zyra Posta Tirana 8/1
1021	19.8185323	41.3279457	Zyra Posta Tirana 8/2
1022	19.8185323	41.3279457	Zyra Posta Tirana 33
1023	19.8098154	41.3405163	Zyra Posta Tirana 9
1024	19.8185323	41.3279457	Zyra Posta Tirana 21
1025	19.7933954	41.3282961	Zyra Posta Tirana 7
1026	19.8185323	41.3279457	Zyra Posta Tirana 23
1027	19.7727541	41.3166844	Zyra Posta Tirana 6
1028	19.8185323	41.3279457	Zyra Posta Tirana 28
1029	19.770209	41.360161	Zyra Posta  Kamez Institut
1030	19.7604224	41.3835259	Zyra Posta Kamez
1031	19.8185323	41.3279457	Zyra Posta Tirane 11
1032	19.654925	41.3939611	Zyra Posta Vore
1033	19.6277578	41.374682	Zyra Posta Tirana Marikaj
1034	19.8565662	41.254329	Zyra Postare Petrele
1035	19.8003841	41.2147739	Zyra Postare Baldushk
1036	19.6533476	41.2642852	Zyra Postare Ndroq
1037	19.9055661	41.24405	Zyra Postare Berzhite
1038	19.71927638	41.2068323	Zyra Postare Peze
1039	19.6726513	41.430927	Zyra Postare Preze
1040	19.9259094	41.3214144	Zyra Postare Priske (Dajt)
1041	19.75702469	41.2911637	Zyra Postare Vaqarr
1042	19.9301032	41.4288306	Zyra Postare Zall-Bastar
1043	20.1078951	41.3324813	Zyra Postare Shengjergj
1044	19.8343881	41.300213	Zyra Postare Sauk
1045	19.87481584	41.30243855	Zyra Postare Farke
1046	20.2197746	40.9619371	Zyra Postare Selite
1047	19.831357	41.3542607	Zyra Postare Babrru
1048	19.8259662	41.3892869	Zyra Postare Zall-Herr
1049	19.9709578	41.2167605	Zyra Postare Krrabe
1050	19.7612916	41.3398006	Zyra Postare Mezez
1051	19.717527	41.3478126	Zyra Postare Kashar
1052	19.7737453	41.3233443	Zyra Postare Yzberisht
1053	19.697714	41.3843915	Zyra Postare Berxull
1054	19.771201	41.3716961	Zyra Posta Bathore
1501	19.7923649	41.5111289	Zyra Postare Kruja
1502	19.7184835	41.4809331	Zyra Postare Fushe Kruje
1503	19.678866	41.5480809	Zyra Postare Thumane
1504	19.7413751	41.4372243	Zyra Postare Nikel
1505	19.6545539	41.4713963	Zyra Postare Bubq
1506	19.678866	41.5480809	Zyra Postare Thumane
1507	19.53310645	41.42759375	Zyra Postare Sukth
1508	19.8961322	41.4834825	Zyra Postare Bruz
1700	19.8468106	41.3476412	Tranzit
2001	19.452372	41.32395	Zyra Postare Durres Qender
2002	19.483667	41.3280195	Zyra Postare Durresi 1
2003	19.483667	41.3280195	Zyra Postare Durresi 2
2004	19.5347907	41.43269535	Zyra Postare Durresi 3
2005	19.5347907	41.43269535	Zyra Postare Durresi 4
2006	19.5347907	41.43269535	Zyra Postare Durresi 5
2007	19.5729639	41.1004725	Zyra Postare Shkozet
2008	19.42878436	42.06701255	Zyra Postare Plazh
2009	19.4434979	41.3407845	Zyra Postare Spitalle
2010	19.53310645	41.42759375	Zyra Postare Sukth
2011	19.59306	41.42861	Zyra Postare Manze 1
2012	19.5616737	41.4289663	Zyra Postare Kulle
2013	19.5677358	41.3434537	Zyra Postare Shijak
2014	19.5677358	41.3434537	Zyra Postare Shijak/1
2015	19.5907219	41.5407581	Zyra Postare Ishem
2016	19.4451631	41.3188294	Zyra Postare Draç
2017	19.4880004	41.40259215	Zyra Postare Katundi i Ri
2018	19.56667	41.33333	Zyra Postare 4 Rruget e Shijakut
2019	19.5478898	41.3431802	Zyra Postare Xhafzotaj
2020	19.6073408	41.3770792	Zyra Postare Maminas
2021	19.5106972	41.3223741	Zyra Postare Rrashbull
2022	19.5907435	41.3364901	Zyra Postare Gjepalaj
2501	19.559412	41.181586	Zyra Postare Kavaja Qender
2502	19.5599485	41.1834239	Zyra Postare Kavaja 1
2503	19.6649775	41.0758988	Zyra Postare Rrogozhine
2504	19.9350131	40.1716881	Zyra Postare Golem
2505	19.5461306	41.1748033	Zyra Postare Synej
2506	19.62039502	41.19113655	Zyra Postare Helmas
2507	19.6117968	41.1152488	Zyra Postare Lekaj
2508	19.51185958	41.05492555	Zyra Postare Gose
2509	19.5736017	41.1273876	Zyra Postare Luz i Vogel
2510	19.5326194	41.0907515	Zyra Postare Kryevidh
2511	19.6992606	41.070294	Zyra Postare Sinaballaj
3001	20.0794072	41.1105874	Zyra Postare Elbasan 1
3002	20.0794072	41.1105874	Zyra Postare Elbasan 2
3003	20.0794072	41.1105874	Zyra Postare Elbasan 3
3004	20.0794072	41.1105874	Zyra Postare Elbasan 4
3005	20.0794072	41.1105874	Zyra Postare Elbasan 5
3006	20.0794072	41.1105874	Zyra Postare Elbasan 6
3007	19.97440713	41.0266505	Zyra Postare Cerrik
3008	19.90188125	40.9755432	Zyra Postare Belsh
3009	20.0214812	41.1038965	Zyra Postare Bradashesh
3010	20.1618355	41.1479733	Zyra Postare Labinot Fushe
3011	20.0524727	41.0526616	Zyra Postare Shirgjan
3012	19.9667291	41.1526634	Zyra Postare Gracen
3013	20.04180249	41.2080642	Zyra Postare Funar
3014	20.2024966	41.0181706	Zyra Postare Gjinar
3015	20.2763222	40.9801844	Zyra Postare Zavaline
3016	19.9569239	41.0538876	Zyra Postare Paper
3017	19.91642608	41.01510165	Zyra Postare Shales
3018	20.04633712	40.9872416	Zyra Postare Gostime
3019	20.6760687	40.4254228	Zyra Postare Mollas
3020	20.0850706	41.5072297	Zyra Postare Klos
3021	19.95585603	40.91098505	Zyra Postare Grekan
3022	19.8935551	40.914097	Zyra Postare Kajan
3023	19.84028081	40.9123728	Zyra Postare Fierze
3024	20.1511858	41.1998032	Zyra Postare Labinot Mal
3025	19.5343734	40.537847	Zyra Postare Shushice
3026	20.0807914	41.0240788	Zyra Postare Tregan
3027	20.0139255	41.0387886	Zyra Postare Gjergjan
3301	20.18473	40.867272	Zyra Postare Gramsh Qender
3302	20.1891239	40.884584	Zyra Postare Pishaj
3303	20.2393121	40.7772493	Zyra Postare Skenderbegas
3304	20.1023279	40.883013	Zyra Postare Sult
3305	20.3670888	40.8669615	Zyra Postare Kukur
3306	20.190699	40.789861	Zyra Postare Kushove
3307	20.1103508	40.832883	Zyra Postare Tunje
3308	20.2902543	40.9360561	Zyra Postare Porocan
3309	20.3896364	40.7652176	Zyra Postare Lenie
3310	20.2509188	40.8056371	Zyra Postare Kodovjat
3401	20.3167518	41.1802251	Zyra Postare Librazhd 1
3402	20.3167518	41.1802251	Zyra Postare Librazhd 2
3403	20.5485577	41.0712276	Zyra Postare Prrenjas 1
3404	20.5485577	41.0712276	Zyra Postare Prrenjas 2
3405	20.5749213	41.0886264	Zyra Postare Rrajce
3406	20.420208	41.0000182	Zyra Postare Stravaj
3407	20.48048232	41.0886087	Zyra Postare Qukes
3408	20.3953929	41.1547579	Zyra Postare Hotolisht
3409	20.2493584	41.1285122	Zyra Postare Polis
3410	20.3232915	41.2852416	Zyra Postare Lunik
3411	20.46667	41.06667	Zyra Postare Komune Qender
3412	20.4716974	41.336638	Zyra Postare Stebleve
3413	20.5485577	41.0712276	Zyra Postare Prrenjas
3501	19.74452596	41.0478365	Zyra Postare Peqin
3502	19.79049277	41.0814361	Zyra Postare Perparim
3503	19.86491959	41.09277455	Zyra Postare Pajove
3504	19.83908081	41.01296	Zyra Postare Sheze
3505	19.7253789	41.024523	Zyra Postare Gjocaj
3506	19.74511478	41.0884654	Zyra Postare Karine
4001	19.36165006	42.2015792	Zyra Postare Qender
4002	19.59597231	42.2507677	Zyra Postare Shkoder 1
4003	19.59597231	42.2507677	Zyra Postare Shkoder 2
4004	19.59597231	42.2507677	Zyra Postare Shkoder 3
4005	19.59597231	42.2507677	Zyra Postare Shkoder 4
4006	19.59597231	42.2507677	Zyra Postare Shkoder 5
4007	19.59597231	42.2507677	Zyra Postare Shkoder 6
4008	19.6399825	42.0074511	Zyra Postare Vau i Dejes
4009	20.2745985	42.1138593	Zyra Postare Dukagjin
4010	19.668129	42.242635	Zyra Postare Pult (agjent postar)
4011	19.775087	42.237923	Zyra Postare Shosh (agjent postar)
4012	19.5718459	42.106696	Zyra Postare Mes
4013	19.812835	42.096025	Zyra Postare Koman (agjent postar)
4014	19.757464	42.096481	Zyra Postare Shllak (agjent postar)
4015	19.5145049	42.0837192	Zyra Postare Dobrac
4016	19.5730538	42.04674	Zyra Postare Guri i ZI
4017	19.4416526	42.016361	Zyra Postare Oblike
4018	19.48847068	41.99571825	Zyra Postare Berdice
4019	19.4137319	41.9943332	Zyra Postare Dajc
4020	19.4058013	41.8776219	Zyra Postare Velipoje
4021	19.5345484	41.9595458	Zyra Postare Bushat
4022	19.5501177	41.9242992	Zyra Postare Barbullush
