CUL	LONGITUDE	LATITUDE	NAME
76213	17.0436099	43.8111362	Begovača
76204	18.3500217	43.6758105	Bijela
76000	18.8073382	44.8743155	Brčko
76120	18.8073382	44.8743155	Brčko
76216	19.0429976	44.1473995	Brezovo Polje
76206	18.645156	44.7707976	Brka
76217	18.0070452	45.1423828	Brod
76203	18.046731	44.6790681	Bukvik
76215	18.6083197	44.5072223	Cerik
76207	18.6929474	44.7814818	Gornji Rahić
76214	18.1717255	43.7777234	Gornji Zovik
76212	18.7227542	44.9280443	Krepšić
76208	18.6577265	44.768707	Maoča
76218	18.9078822	44.7925327	Ražljevo
76209	19.0356725	43.8400299	Šatorovići
76205	18.60825	44.80096	Seonjaci
76211	19.1153088	44.4296545	Ulice
73000	18.9765501	43.6673112	Goražde
73101	18.9765501	43.6673112	Goražde
73208	17.6699597	44.2231534	Ilovača
73206	18.9407231	43.628496	Mravinjac
73202	19.0883583	43.6911634	Ustiprača
73205	18.96749139	43.6307752	Vitkovići
88363	18.1626181	43.0947534	Berkovići
88268	17.782672	43.203161	Biletici Polje
88407	18.230465	43.540079	Bjelimići
88201	17.8904391	43.2575855	Blagaj
88263	17.8248553	44.4799718	Blatnica
88405	18.028628	43.5511689	Boračko Jezero
88365	18.1787091	44.9602507	Borojevići
88408	18.0187127	43.7448719	Bradina
88393	17.7766138	42.9954427	Brštanica
88202	17.8665337	43.2471257	Buna
88366	17.9490684	43.0183589	Burmazi
88409	17.8185505	43.729033	Buturović Polje
88300	17.7051041	43.113402	Čapljina
88404	17.899214	43.6847037	Čelebići
88265	17.6414199	43.2727063	Čerin
88106	17.7820412	43.3518014	Cim
88260	17.6963313	43.2267192	Čitluk
88367	18.0028043	43.9033036	Crnići
88305	17.780462	43.1361544	Domanovići
88215	17.7728378	43.4970166	Drežnica
88306	18.8550174	44.8321766	Gabela
88406	18.1041299	43.5040612	Glavatičevo
88422	17.7630093	43.6202055	Glogošnica
88443	17.6844748	43.7294756	Gračac
88392	19.3214472	44.1765151	Gradac
88205	16.95715142	43.82422115	Guber
88368	17.9251956	43.1509631	Hodovo
88395	18.37819066	43.8482202	Hrasno
88394	17.8023493	42.9565933	Hutovo
88420	17.1142595	45.0955658	Jablanica
88400	17.9624801	43.6534733	Konjic
88203	17.8769975	43.0695164	Kruševo
88380	18.0897048	42.9509792	Ljubinje
88266	17.6767481	43.1913572	Međugorje
88000	17.8030427	43.3416104	Mostar
88103	17.8030427	43.3416104	Mostar
88104	17.8030427	43.3416104	Mostar
88108	17.8030427	43.3416104	Mostar
88110	17.8030427	43.3416104	Mostar
88390	17.6186086	42.9248897	Neum
88423	17.1854826	43.6883362	Ostrožac
88403	17.9941732	43.7016655	Podorašac
88206	17.9118093	43.3083484	Podvelež
88402	17.9735051	43.6366575	Polje Bijela
88208	18.2470269	43.667053	Potoci
88204	17.447497	43.1836122	Prolog
88440	17.6076793	43.8230831	Prozor-Rama
88370	17.9650879	42.887534	Ravno
88213	17.8577044	43.4419077	Salakovac
88446	17.7423781	43.8236343	Šćipe
88445	17.8107972	43.919238	Šćit
88360	17.8242823	43.3440981	Stolac
88307	17.7105907	43.0676372	Višići
88113	17.8504501	43.3746405	Vrapčići
