CUL	LATITUDE	LONGITUDE	NAME
10021	37.974511	23.7330711	ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ
10431	37.9844383	23.7281172	ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ ΑΘΗΝΑ
10432	37.9872442	23.7263731	ΠΛΑΤΕΙΑ ΒΑΘΗΣ ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑ
10433	37.9783811	23.7805126	ΠΟΛΥΤΕΧΝΕΙΟ ΑΘΗΝΑ
10434	37.9934691	23.7275065	ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ ΑΘΗΝΑ
10435	37.9842815	23.7177254	ΜΕΤΑΞΟΥΡΓΕΙΟ ΑΘΗΝΑ
10436	37.9844383	23.7281172	ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ
10437	37.9844383	23.7281172	ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ
10438	39.2985317	22.3844827	ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
10439	39.2985317	22.3844827	ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
10440	39.2985317	22.3844827	ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ
10441	38.2280667	21.7632893	ΚΟΛΩΝΟΣ
10442	38.2280667	21.7632893	ΚΟΛΩΝΟΣ
10443	38.0045679	23.7160906	ΣΕΠΟΛΙΑ
10444	37.9944925	23.7042077	ΚΟΛΩΝΟΣ
10445	38.0158537	23.7268584	ΤΡΕΙΣ ΓΕΦΥΡΕΣ ΑΘΗΝΑ
10446	38.0026161	23.7334402	ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ ΚΥΨΕΛΗ
10447	37.9823979	23.6940037	ΑΘΗΝΑ ΒΟΤΑΝΙΚΟΣ
10551	37.9816306	23.7281396	ΠΛΑΤΕΙΑ ΚΛΑΥΘΜΩΝΟΣ
