CUL	LONGITUDE	LATITUDE	NAME
66040	14.330666	42.102414	Altino
66040	14.215535	42.073188	Selva
66044	14.382181	42.090418	Archi
66044	14.372779	42.106146	Piane d'archi
66010	14.264034	42.293367	Ari
66010	14.267037	42.284704	San Pietro
66030	14.307327	42.263168	Arielli
66041	14.446061	42.066713	Atessa
66041	14.433463	42.125481	Monte Marcone
66041	14.262833	42.122833	Piana la Fara
66041	14.440668	42.144971	Piazzano
66042	14.368148	42.035315	Bomba
66040	14.305315	41.920019	Borrello
66011	14.182742	42.305863	Bucchianico
66011	14.136614	42.319759	Colle Sant'Antonio
66010	14.306320	42.299846	Canosa Sannita
66030	14.504298	42.010716	Carpineto Sinello
66050	14.524977	41.918983	Carunchio
66010	14.200333	42.248444	Casacanditella
66010	14.215922	42.278224	Semivicoli
66031	14.500022	42.036883	Casalanguida
66021	14.584455	42.150065	Casalbordino
66021	14.584455	42.150065	Casalbordino stazione
66021	14.614594	42.159370	Miracoli
66012	14.136019	42.297830	Casalincontrada
66043	14.292004	42.117978	Casoli
66043	14.304000	42.122176	Selva piana
66032	14.356278	42.198130	Castel Frentano
66040	14.522815	41.823778	Castelguidone
66033	14.450875	41.866724	Castiglione Messer Marino
66050	14.580426	41.872327	Celenza sul Trigno
66100	14.092928	42.322160	Brecciarola
66100	14.167151	42.351793	Chieti
66100	14.138845	42.356960	Chieti Scalo
66100	14.169346	42.354894	Tricalle
66040	14.302882	41.945124	Civitaluparella
66010	14.216238	42.088306	Civitella Messer Raimondo
66010	14.202422	42.005831	Colledimacine
66040	14.387319	41.987306	Colledimezzo
66014	14.323218	42.289978	Crecchio
66014	14.322108	42.304632	Villa Tucci
66051	14.674185	42.071792	Cupello
66050	14.635995	41.942133	Dogliola
66040	14.324742	41.938789	Fallo
66010	14.186034	42.249925	Fara Filiorum Petri
66015	14.203968	42.091048	Fara San Martino
66030	14.246111	42.229222	Filetto
66022	14.480364	42.243256	Fossacesia
66022	14.511472	42.248143	Fossacesia Marina
66022	14.435677	42.227812	Scorciosa
66050	14.487352	41.906407	Fraine
66023	14.287307	42.421522	Francavilla al Mare
66023	14.287307	42.421522	Francavilla al Mare rione foro
66050	14.662804	41.975444	Fresagrandinaria
66030	14.370846	42.263912	Frisa
66030	14.385019	42.270019	Guastameroli
66050	14.589161	42.009976	Furci
66040	14.209344	41.904808	Gamberale
66010	14.274074	42.057667	Gessopalena
66052	14.546155	42.021971	Gissi
66010	14.285774	42.304310	Giuliano Teatino
66016	14.207519	42.201574	Caporosso
66016	14.192559	42.186261	Comino
66016	14.222434	42.190515	Guardiagrele
66016	14.268907	42.189241	Piano delle fonti
66016	14.286698	42.189866	San Vincenzo
66050	14.476362	41.996959	Guilmi
66010	14.187204	42.042500	Lama dei Peligni
66034	14.391379	42.233175	Lanciano
66034	14.186451	42.376820	Madonna del Carmine
66034	14.355114	42.228194	Nasuti
66034	14.390410	42.173439	Rizzacorno
66034	14.354076	42.238087	Sant'Amato
66034	14.396082	42.186182	Villa Elce
66050	14.676303	41.997170	Lentella
66010	14.159651	42.001600	Lettopalena
66050	14.558240	41.954286	Liscia
66010	14.292500	42.359389	Miglianico
66030	14.429174	41.947760	Montazzoli
66040	14.325019	41.987667	Buonanotte
66040	14.325019	41.987667	Montebello sul Sangro
66040	14.387659	41.955900	Monteferrante
66040	14.342623	41.963165	Montelapiano
66010	14.252121	41.977066	Montenerodomo
66050	14.653281	42.087019	Monteodorisio
66030	14.445848	42.211604	Mozzagrogna
66030	14.423719	42.210897	Villa Romagnoli
66036	14.280000	42.220019	Orsogna
66026	14.405210	42.356909	Ortona
66026	14.333978	42.396407	Ortona Foro
66026	14.410772	42.357704	Ortona Porto
66026	14.364852	42.293444	Villa Caldari
66026	14.365648	42.329870	Villa Grande
66026	14.402204	42.312204	Villa San Leonardo
66026	14.361452	42.350229	Villa San Nicola
66020	14.498296	42.164074	Paglieta
66020	14.490964	42.178078	Sant'Egidio
66017	14.138778	41.984074	Palena
66050	14.581582	41.939434	Palmoli
66010	14.230368	42.127222	Palombaro
66040	14.325333	42.005963	Pennadomo
66010	14.194812	42.154717	Pennapiedimonte
66040	14.395019	42.104241	Perano
66040	14.375019	41.969852	Pietraferrazzana
66040	14.236741	41.922519	Pizzoferrato
66030	14.323296	42.255944	Poggiofiorito
66020	14.592868	42.139196	Pollutri
66010	14.142833	42.218778	Pretoro
66040	14.289241	41.925944	Quadri
66010	14.186349	42.210274	Rapino
66010	14.235000	42.359704	Ripa Teatina
66010	14.128652	42.243129	Roccamontepiano
66010	14.282840	42.324943	San Rocco
66010	14.136988	42.259729	Terranova
66020	14.462500	42.247037	Rocca San Giovanni
66040	14.307833	42.063611	Roccascalegna
66050	14.482990	41.920053	Olmi
66050	14.470332	41.937040	Roccaspinalveti
66040	14.372660	41.911711	Roio del Sangro
66040	14.357833	41.922204	Giuliopoli
66040	14.350796	41.901889	Rosello
66050	14.570706	41.981780	San Buono
66050	14.561121	41.846187	San Giovanni Lipioni
66020	14.180963	42.418926	Sambuceto
66020	14.202207	42.410215	San Giovanni Teatino
66010	14.214135	42.225958	San Martino sulla Marrucina
66050	14.731020	42.044658	San Salvo
66050	14.773656	42.067807	San salvo Marina
66030	14.449304	42.217958	Santa Maria Imbaro
66037	14.328148	42.170019	Sant'Eusanio del Sangro
66038	14.445290	42.308110	Marina di San Vito
66038	14.406671	42.295354	Sant'Apollinare Chietino
66038	14.445481	42.297037	San Vito Chietino
66020	14.581447	42.099891	San Giacomo di Scerni
66020	14.570173	42.103148	Scerni
66045	14.484676	41.815994	Schiavi di Abruzzo
66045	14.479220	41.793165	Taverna di Schiavi di Abruzzo
66018	14.169393	42.018643	Taranta Peligna
66010	14.319074	42.348907	Tollo
66020	14.541722	42.189241	Torino di Sangro
66020	14.541722	42.189241	Torino di Sangro stazione
66046	14.439074	41.966259	San Giovanni
66046	14.417037	42.039241	Tornareccio
66050	14.532191	41.853443	Guardiabruna
66050	14.540600	41.869338	Torrebruna
66010	14.223315	42.378771	Castelferrato
66010	14.214408	42.383714	Torrevecchia Teatina
66019	14.242727	42.005590	Fallascoso
66019	14.259603	42.024762	Torricella Peligna
66030	14.426093	42.269128	Treglio
66050	14.624809	41.918276	Tufillo
66010	14.232668	42.297785	Vacri
66054	14.698319	42.144750	Incoronata di Vasto
66054	14.726032	42.093920	Marina di Vasto
66054	14.674256	42.124494	San Lorenzo di Vasto
66054	14.709621	42.112706	Vasto
66020	14.571060	42.160979	Villalfonsina
66010	14.237037	42.330019	Villamagna
66047	14.349329	41.948728	Villa Santa Maria
67020	13.716908	42.176416	Acciano
67020	13.680173	42.193056	Beffi
67020	13.698444	42.197204	Roccapreturo
67041	13.591574	42.081889	Aielli
67041	13.586262	42.063813	Aielli stazione
67030	14.032533	41.734238	Alfedena
67030	13.804852	41.994852	Anversa degli Abruzzi
67030	13.812223	41.983544	Castrovalva
67030	14.201356	41.854829	Ateleta
67051	13.402795	42.069591	Antrosano
67051	13.425618	42.028408	Avezzano
67051	13.280619	42.374856	Cese
67051	13.284389	42.538130	Paterno
67051	13.461384	42.050866	San Pelino
67051	13.435546	42.033463	Santuario di Pietracquaria
67052	13.560796	41.810963	Balsorano
67052	13.558756	41.812420	Balsorano Nuovo
67052	13.609417	41.788273	Ridotti
67010	13.283232	42.449088	Barete
67021	13.593463	42.325481	Barisciano
67021	13.542037	42.321741	Picenze
67030	13.992042	41.755249	Barrea
67050	13.758611	41.922204	Bisegna
67050	13.760486	41.942742	San Sebastiano
67030	13.858679	42.022198	Bugnara
67030	13.870166	42.045029	Torre dei Nolfi
67012	13.224790	42.452265	Cagnano Amiterno
67012	13.569509	42.292634	San Giovanni
67020	13.698109	42.326569	Calascio
67030	14.034882	42.011193	Campo di Giove
67013	13.367855	42.559871	Campotosto
67013	13.348573	42.527763	Mascioni
67013	13.424886	42.519922	Ortolano
67013	13.327519	42.562370	Poggio Cancelli
67050	13.413443	41.941626	Canistro
67050	13.412879	41.941080	Canistro inferiore
67050	13.396958	41.941895	Canistro superiore
67030	14.012815	42.005481	Cansano
67022	13.766123	42.268571	Capestrano
67053	13.389809	41.965729	Capistrello
67053	13.347380	42.008869	Corcumello
67053	13.389809	41.965729	Pescocanale
67014	13.300880	42.520421	Capitignano
67020	13.674709	42.251143	Caporciano
67060	13.280085	42.005840	Cappadocia
67060	13.281857	42.017624	Petrella Liri
67060	13.248313	42.035890	Verrecchie
67020	13.682483	42.299696	Carapelle Calvisio
67061	13.086941	42.099501	Carsoli
67061	13.158241	42.097234	Colli di Montebove
67061	13.114704	42.092981	Montesabinese
67061	13.128892	42.135053	Pietrasecca
67061	13.052506	42.112089	Poggio Cinolfo
67061	13.107543	42.156456	Tufo di Carsoli
67061	13.097725	42.085878	Villa Romana
67023	13.725791	42.364519	Castel del Monte
