CUL	LONGITUDE	LATITUDE	NAME
60510	21.404463	42.496642	Brasaljce
60000	21.4684483	42.4635201	Gnjilane
60010	21.4684483	42.4635201	Gnjilane
60030	21.4684483	42.4635201	Gnjilane
62000	21.5811607	42.5812894	Kamenica
62070	21.6595268	42.5549105	Mucivrce
62050	21.650184	42.6242086	Ogoste
62060	21.5067146	42.6508336	Strezovce
61050	21.3738758	42.3719358	Klokot
61060	21.3411742	42.3644525	Pozharan
61000	21.3571665	42.320283	Vitina
43500	20.8046687	43.1045716	Leposavić
40550	20.6203889	43.1973335	Bare
40000	20.8659265	42.8790435	Mitrovica
40010	20.8659265	42.8790435	Mitrovica
40040	20.8659265	42.8790435	Mitrovica
40050	20.8659265	42.8790435	Mitrovica
40060	20.8659265	42.8790435	Mitrovica
40500	20.8994053	42.9194713	Prvi Tunel
40700	20.68991	42.796806	Runika
40600	20.8492158	42.8637561	Sipolje
40650	20.6918496	42.9134822	Zubin Potok
41050	20.8121921	42.7519093	Prekaz
41000	20.7892186	42.7475332	Srbica
42000	20.9658574	42.8215443	Vučitrn
43000	20.8402873	42.9089942	Zvečan
31020	20.474754	42.725943	Djurakovac
31000	20.4843952	42.7818778	Istok
31010	20.39139	42.72694	Pećka Banja
32050	20.4956777	42.6668183	Budisavci
32000	20.5779733	42.6199012	Klina
30090	20.346482	42.7009541	Vitomirica
31030	20.36991	42.6406821	Goraždevac
30000	20.0543967	42.742042	Peć
30010	20.0543967	42.742042	Peć
30030	20.0543967	42.742042	Peć
30040	20.0543967	42.742042	Peć
30050	20.0543967	42.742042	Peć
30080	20.0543967	42.742042	Peć
13000	20.8934832	42.6224393	Glogovac
13050	20.9032959	42.5757319	Komorane
12000	21.093132	42.6374117	Kosovo Polje
12010	21.093132	42.6374117	Kosovo Polje
12050	21.0173634	42.604211	Velika Slatina
12060	21.0224019	42.6328976	Veliki Belacevac
14050	21.2470244	42.5736314	Janjevo
14000	21.12265	42.5225101	Lipljan
14060	21.0098631	42.5377293	Magura
16000	21.4198507	42.6160826	Novo Brdo
15050	21.0848883	42.7207482	Muzakaj
15000	21.0706963	42.6844495	Obilić
11070	21.1425611	42.9917027	Krpimej
11050	21.1675878	42.8222434	Lužane
11060	21.3432797	42.8174474	Orlane
11000	21.190114	42.9104167	Podujevo
10510	21.181556	42.620842	Ajvalija
10120	21.1640849	42.6638771	Priština
10520	21.147475	42.71707	Devet Jugovic
10130	21.1640849	42.6638771	Priština
10500	21.1919536	42.6019576	Gračanica
10530	21.3352368	42.7411351	Kačikol
10000	21.1640849	42.6638771	Priština
10010	21.1640849	42.6638771	Priština
10020	21.1640849	42.6638771	Priština
10030	21.1640849	42.6638771	Priština
10040	21.1640849	42.6638771	Priština
10050	21.1640849	42.6638771	Priština
10060	21.1640849	42.6638771	Priština
10070	21.1640849	42.6638771	Priština
10080	21.1640849	42.6638771	Priština
10090	21.1640849	42.6638771	Priština
10100	21.1640849	42.6638771	Priština
10110	21.1640849	42.6638771	Priština
22060	20.682323	42.117596	Belobrad
22050	20.725572	42.108994	Bresan
22070	20.6857824	42.0020336	Brod
22000	20.6534174	42.0625679	Dragaš
22080	20.77767	43.0932881	Kruševo
24060	20.718309	42.5680441	Kijevo
24000	20.7430294	42.4838388	Mališevo
24050	20.5630556	42.9702778	Velika Banja
20050	20.7404242	42.2089656	Prizren
20060	20.7404242	42.2089656	Prizren
20080	20.7404242	42.2089656	Prizren
20530	20.8182231	42.1735235	Recane
20510	20.6260124	42.2739718	Zjum
20520	20.6188323	42.1632539	Zur
20550	20.796186	42.2581527	Korisa
20540	20.7238603	42.3288741	Mamuša
20000	20.7404242	42.2089656	Prizren
20010	20.7404242	42.2089656	Prizren
20020	20.7404242	42.2089656	Prizren
20030	20.7404242	42.2089656	Prizren
20040	20.7404242	42.2089656	Prizren
23050	20.8900745	42.2989286	Mušutište
23060	21.049132	42.82523	Samodraža
23000	20.8281442	42.361567	Suva Reka
71510	21.25788184	42.1533006	Elez Han
71000	21.2569046	42.2304551	Kačanik
72000	21.0366331	42.4333942	Štimlje
73000	21.0266727	42.2395276	Štrpce
70510	21.1770084	42.4474408	Babus
70520	21.152213	42.3502123	Doganjevo
70000	21.1518203	42.3705175	Uroševac
70010	21.1518203	42.3705175	Uroševac
70030	21.1518203	42.3705175	Uroševac
70040	21.1518203	42.3705175	Uroševac
51000	20.2901339	42.540537	Dečani
51050	20.2764246	42.4776433	Junik
21000	20.6528313	42.399182	Orahovac
21010	20.6528313	42.399182	Orahovac
21020	20.6528313	42.399182	Orahovac
21050	20.5402075	42.4112187	Ratkovac
21070	20.6771922	42.3839203	Velika Hoča
21080	20.6354296	42.3183803	Velika Krusa
21060	20.570474	42.350563	Zrze
50500	20.5128146	42.3544997	Bistrazin
50550	20.5779687	42.3304409	Rogovo
50000	20.4316226	42.3798793	Đakovica
50010	20.4316226	42.3798793	Đakovica
50040	20.4316226	42.3798793	Đakovica
50050	20.4316226	42.3798793	Đakovica
50060	20.4316226	42.3798793	Đakovica
50070	20.4316226	42.3798793	Đakovica
50080	20.4316226	42.3798793	Đakovica
50090	20.4316226	42.3798793	Đakovica
50100	20.4316226	42.3798793	Đakovica
