CUL	LONGITUDE	LATITUDE	NAME	
MK1000	21.433300	42.000000	Skopje	
MK1010	21.433300	42.000000	Skopje	
MK1011	21.418100	42.109700	Kuceviste	
MK1020	21.521700	41.936700	Skopje-Karpos 3	
MK1040	21.433300	42.000000	Skopje	
MK1041	21.582200	41.996100	Ilinden	
MK1042	21.649400	41.978100	Miladinovci	
MK1043	21.615000	41.938900	Petrovec	
MK1044	21.683100	41.894400	Katlanovo	
MK1045	21.561900	42.026400	Aracinovo	
MK1047	21.556900	41.967200	Jurumleri	
MK1050	21.521700	41.936700	Skopje-Dracevo	
MK1053	21.586900	41.886700	Zelenikovo	
MK1054	21.189800	41.316100	Rakotnici	
MK1060	21.319300	42.060900	Skopje-Gjorce Petrov	
MK1062	21.210600	42.085000	Radusa	
MK1063	21.236900	41.968300	Bukovik	
MK1200	20.971400	42.010600	Tetovo	
MK1201	20.957800	41.992500	Mala Recica	
MK1203	21.108900	42.106700	Nerashte	
MK1206	21.176100	42.164400	Jazince	
MK1211	21.077800	42.103300	Dobroste	
MK1212	21.000000	42.032800	Dzepciste	
MK1213	20.947800	41.915300	Zerovjane	
MK1214	20.910600	41.910800	Pirok	
MK1215	21.123600	42.073600	Jegunovce	
MK1216	20.980800	41.967200	Brvenica	
MK1218	21.130300	41.967800	Grupcin	
MK1219	20.945800	41.990300	Golema Recica	
MK1220	20.913600	41.923600	Bogovinje	
MK1221	20.926700	41.944400	Kamenjane	
MK1224	21.052500	42.074400	Tearce	
MK1225	21.116900	42.143300	Vratnica	
MK1226	21.064200	41.980300	Zelino	
MK1227	21.013300	41.931700	Celopek	
MK1228	21.079700	42.024700	Shemshevo	
MK1230	20.908300	41.797200	Gostivar	
MK1231	20.839200	41.768600	Vrutok	
MK1234	20.884200	41.815900	Debreshe	
MK1235	22.090600	41.484600	Negotino-Gostivarsko	
MK1236	20.887500	41.865800	Dobri Dol	
MK1237	20.975800	41.838900	Cegrane	
MK1238	20.885300	41.833900	Vrapciste	
MK1239	20.960300	41.705800	Srbinovo	
MK1250	20.527500	41.525000	Debar	
MK1254	20.600000	41.610000	Rostusa	
MK1255	20.585800	41.674400	Zirovnica	
MK1256	20.755600	41.700600	Mavrovi Anovi	
MK1257	20.609400	41.565600	Skudrinje	
MK1258	20.544400	41.476700	Golem Papradnik	
MK1300	21.714400	42.132200	Kumanovo	
MK1302	21.910800	42.262500	Zeglane	
MK1303	21.828600	42.198100	Staro Negoricane	
MK1304	21.857200	42.116100	Klecovce	
MK1305	21.799700	42.062500	Orasec	
MK1306	21.597800	42.125600	Matejce	
MK1307	21.585300	42.156400	Lipkovo	
MK1308	21.708300	42.214700	Tabanovce	
MK1309	21.887800	42.023100	Gradiste	
MK1312	21.801700	42.170300	Mlado Nagoricane	
MK1314	21.906700	42.157200	Oblavce	
MK1315	21.587800	42.143900	Otlja	
MK1316	22.122800	42.181900	Rankovce	
MK1322	21.693100	42.094700	Romanovce	
MK1323	21.756100	42.039700	Pcinja	
MK1324	21.663100	42.206100	Vaksince	
MK1325	21.627800	42.173300	Slupcane	
MK1330	22.331900	42.201900	Kriva Palanka	
MK1332	22.187200	42.208300	Petralnica	
MK1333	22.253900	42.157800	Mozdivnjak	
MK1334	22.323900	42.277200	Dubrovnica	
MK1335	22.395800	42.225000	Zidilovo	
MK1360	22.181400	42.079200	Kratovo	
MK1361	22.032200	42.150600	Stracin	
MK1400	21.775600	41.715600	Veles	
MK1406	21.760000	41.748300	Basino Selo	
MK1407	21.820300	41.848900	Ivankovci	
MK1408	21.733600	41.685800	Gorno Orizari	
MK1413	21.662200	41.650600	Caska	
MK1414	21.697200	41.554700	Izvor	
