CUL	LONGITUDE	LATITUDE	NAME
81000	19.2621081	42.4415238	Podgorica
81101	19.251964	42.442282	Podgorica 1
81102	19.269695	42.43384	Podgorica 2
81103	19.248601	42.443639	Podgorica 3
81104	19.256872	42.4189753	Podgorica 4
81105	19.288758	42.45165	Podgorica 5
81106	19.258957	42.430436	Podgorica 6
81107	19.249825	42.442308	Podgorica 7
81108	19.26354	42.434708	Podgorica 8
81109	19.242371	42.452044	Podgorica 9
81110	19.256935	42.448703	Podgorica 10
81111	19.217389	42.419557	Podgorica 11
81112	19.236768	42.438554	Podgorica 12
81113	19.268037	42.457246	Podgorica 13
81114	19.278315	42.429339	Podgorica 14
81115	19.265859	42.439128	Podgorica 15
81206	19.3301531	42.3663286	Tuzi
81210	19.5216941	42.8236455	Kolašin
81250	18.9243456	42.3897776	Cetinje
81304	19.2342145	42.3350267	Golubovci
81305	19.0914733	42.2461732	Virpazar
81400	18.9488746	42.7739559	Nikšić
81402	18.9488746	42.7739559	Nikšić 2
81403	18.9488746	42.7739559	Nikšić 3
81405	18.9514525	42.7644974	Kličevo
81410	19.1042769	42.5499513	Danilovgrad
81412	19.2044201	42.5000477	Spuž
81431	18.9370427	42.8503239	Vidrovan
81435	18.8452248	43.1562282	Plužine
81450	19.0946043	42.957197	Šavnik
84000	19.7469527	43.0337081	Bijelo Polje
84205	19.5835552	42.9598028	Mojkovac
84210	19.3584715	43.3565611	Pljevlja
84220	19.1208669	43.1550532	Žabljak
84300	19.8740451	42.846826	Berane
84310	20.1659665	42.8416663	Rožaje
84320	19.7915337	42.7339909	Andrijevica
84325	19.93935032	42.60081175	Plav
85000	19.0954528	42.0979745	Bar
85300	18.9456798	42.207285	Petrovac
85306	19.3122656	42.0864079	Ostros
85310	18.8378775	42.2835454	Budva
85311	18.8378775	42.2835454	Budva 2
85312	19.2454083	42.4435492	Merkur
85315	18.8911522	42.2559076	Sveti Stefan
85316	18.8656427	42.2848308	Bečići
85317	18.8038605	42.3065557	Lastva Grbaljska
85318	18.7593274	42.3575134	Radanovići
85320	18.7000949	42.4288801	Tivat
85323	18.6718664	42.3970257	Radovići
85330	18.771267	42.4242488	Kotor
85331	18.7648257	42.4662164	Dobrota
85332	18.6900079	42.444084	Donja Lastva
85334	18.7095608	42.4721998	Stoliv
85335	18.753071	42.4490017	Prčanj
85336	18.698186	42.4864286	Perast
85337	18.6955649	42.5149792	Risan
85338	18.6481042	42.4891698	Morinj
85339	18.771428	42.424839	Kotor Stari Grad
85340	18.5360443	42.4509294	Herceg Novi
85343	19.1035855	42.9340087	Bijela
85344	18.6284763	42.4425482	Baošići
85345	18.6091843	42.4373405	Djenovići
85346	18.5749862	42.4509936	Zelenika
85347	18.49964377	42.44346725	Igalo
85348	18.5612296	42.455247	Meljine
85351	19.090387	42.09289	Bar Gat V
85353	19.12330526	42.08637865	Čeluga
85354	19.1338353	42.093943	Stari Bar
85355	19.0456192	42.1461611	Sutomore
85356	19.1738712	42.0314284	Pečurice
85357	19.0055288	42.1597217	Čanj
85358	19.14279687	42.03448325	Veliki pijesak
85359	19.1510865	42.0106902	Uvala maslina
85360	19.2134525	41.9301251	Ulcinj
85361	19.30552579	41.88853145	Velika Plaža
85362	19.2077046	41.924759	Ulcinj 2
85366	19.9635448	42.7546381	Vladimir
85367	19.361959	41.8796206	Štoj
