CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010011	26.099350	44.436550	Bucuresti	
010012	26.099350	44.436550	Bucuresti	
010013	26.099350	44.436550	Bucuresti	
010014	26.099350	44.436550	Bucuresti	
010015	26.099350	44.436550	Bucuresti	
010016	26.099350	44.436550	Bucuresti	
010017	26.099470	44.435590	Bucuresti	
010018	26.099470	44.435590	Bucuresti	
010019	26.100200	44.436660	Bucuresti	
010021	26.091230	44.438230	Bucuresti	
010022	26.099420	44.435910	Bucuresti	
010023	26.086850	44.452030	Bucuresti	
010024	26.099510	44.437970	Bucuresti	
010025	26.091230	44.438230	Bucuresti	
010026	26.091230	44.438230	Bucuresti	
010027	26.098830	44.439920	Bucuresti	
010028	26.088090	44.445500	Bucuresti	
010031	26.094610	44.438060	Bucuresti	
010032	26.094610	44.438060	Bucuresti	
010033	26.094610	44.438060	Bucuresti	
010034	26.094610	44.438060	Bucuresti	
010035	26.094610	44.438060	Bucuresti	
010036	26.094610	44.438060	Bucuresti	
010037	26.094610	44.438060	Bucuresti	
010038	26.094610	44.438060	Bucuresti	
010039	26.094610	44.438060	Bucuresti	
010041	26.099810	44.440690	Bucuresti	
010042	26.099810	44.440690	Bucuresti	
010043	26.099810	44.440690	Bucuresti	
010044	26.099810	44.440690	Bucuresti	
010045	26.099810	44.440690	Bucuresti	
010046	26.080300	44.445400	Bucuresti	
010051	26.099810	44.440690	Bucuresti	
010052	26.099810	44.440690	Bucuresti	
010053	26.099810	44.440690	Bucuresti	
010054	26.099810	44.440690	Bucuresti	
010055	26.099810	44.440690	Bucuresti	
010056	26.088090	44.445500	Bucuresti	
010061	26.091230	44.438230	Bucuresti	
010062	26.091230	44.438230	Bucuresti	
010063	26.091230	44.438230	Bucuresti	
010064	26.091230	44.438230	Bucuresti	
010065	26.091230	44.438230	Bucuresti	
010066	26.091230	44.438230	Bucuresti	
010067	26.091230	44.438230	Bucuresti	
010068	26.091230	44.438230	Bucuresti	
010069	26.091230	44.438230	Bucuresti	
010071	26.093020	44.448280	Bucuresti	
010072	26.093020	44.448280	Bucuresti	
010073	26.093020	44.448280	Bucuresti	
010074	26.093020	44.448280	Bucuresti	
010081	26.091230	44.438230	Bucuresti	
010082	26.091230	44.438230	Bucuresti	
010083	26.091230	44.438230	Bucuresti	
010084	26.091230	44.438230	Bucuresti	
010085	26.091230	44.438230	Bucuresti	
010086	26.097560	44.438590	Bucuresti	
010091	26.093020	44.448280	Bucuresti	
010092	26.093020	44.448280	Bucuresti	
010093	26.093020	44.448280	Bucuresti	
010094	26.093020	44.448280	Bucuresti	
010095	26.093020	44.448280	Bucuresti	
010096	26.093020	44.448280	Bucuresti	
010097	26.093020	44.448280	Bucuresti	
010098	26.093020	44.448280	Bucuresti	
010099	26.093020	44.448280	Bucuresti	
010101	26.085460	44.440080	Bucuresti	
010102	26.085460	44.440080	Bucuresti	
010103	26.085460	44.440080	Bucuresti	
010104	26.085460	44.440080	Bucuresti	
010105	26.085460	44.440080	Bucuresti	
