CUL	LONGITUDE	LATITUDE	NAME
11000	20.4568974	44.8178131	Beograd
11010	20.4799969	44.7674604	Beograd Vozdovac
11030	20.41514789	44.78274875	Beograd Čukarica
11050	20.49601379	43.886912	Beograd Zvezdara
11060	20.4764939	44.8106196	Beograd Palilula
11070	20.417507	44.8134531	Novi Beograd
11080	20.34105437	44.8587074	Beograd Zemun
11090	20.4359021	44.7457392	Beograd Rakovica
11130	20.5634057	44.7606974	Kaluđerica
11194	20.4412433	44.6815301	Rušanj
11211	20.4576073	44.8821959	Borča
11212	20.5350122	44.8876947	Ovča
11213	20.4302644	44.9391902	Padinska Skela
11223	21.916771	42.886605	Beli Potok
11224	20.5910154	44.6639616	Vrčin
11225	20.5571844	44.6985928	Zuce
11226	20.48305	44.695433	Pinosava
11232	20.5204337	44.6390298	Ripanj
11233	20.7570369	44.5760711	Ralja
11235	20.64912473	44.55906405	Mali Požarevac
11251	20.3191998	44.7285552	Ostružnica
11253	20.3938862	44.6710335	Sremčica
11260	20.3047222	44.6780556	Umka
11261	20.30426194	44.64369305	Mala Moštanica
11262	20.35624432	44.66570375	Velika Mostanica
11271	20.2831111	44.7951387	Surčin
11272	20.2230402	44.8296634	Dobanovci
11275	20.2228527	44.7220653	Boljevci
11276	20.2624948	44.7534349	Jakovo
11277	20.37512737	44.1746711	Ugrinovci
11279	20.2031325	44.7806827	Bečmen
11280	20.1589682	44.7182286	Progar
11282	20.1439094	44.7940843	Petrovcic
11300	20.9269355	44.6662524	Smederevo
11306	20.7170219	44.6709248	Grocka
11307	20.6090226	44.7320974	Boleč
11308	20.69511	44.6319881	Begaljica
11309	20.5737033	44.7299328	Leštane
11310	21.00238144	44.6500361	Lipe
11311	20.96544601	44.6135979	Radinac
11312	22.4942396	44.3702151	Mihajlovac
11313	21.01721545	44.58972605	Mala Krsna
11314	21.06881469	44.54691555	Osipaonica
11315	21.06709435	44.49965055	Saraorci
11316	20.99862209	44.4570265	Golobok
11317	21.14521867	43.9575158	Lozovik
11318	19.52704153	44.59805125	Miloševac
11319	21.03343601	44.4110452	Krnjevo
11320	21.0764834	44.334138	Velika Plana
11321	21.06612592	44.5186331	Lugavcina
11322	21.0377366	44.57358695	Skobalj
11323	21.0887509	44.3712415	Veliko Orašje
11324	21.06543831	43.9459904	Staro Selo
11325	21.4757515	45.1479025	Markovac
11326	21.13654934	44.3630871	Donja Livadica
11327	22.1015361	43.5115389	Rakinac
11328	20.83448922	44.6051427	Vodanj
11329	21.00848751	44.6056697	Vranovo
11351	20.6158865	44.7592877	Vinča
11400	20.6928767	44.4401485	Mladenovac
11406	20.67823626	44.50237475	Vlaška
11407	20.85715629	44.4986481	Selevac
11408	20.80065617	44.47216435	Velika Krsna
11409	19.7315093	45.1306849	Kovačevac
11411	21.42375188	43.80567405	Ratari
11412	20.7137429	44.3731228	Jagnjilo
11413	20.6285413	44.4154628	Pružatovac
11414	20.58193415	44.4169331	Velika Ivanča
11415	20.6060227	44.4445158	Koraćica
11420	20.9567012	44.3661758	Smederevska Palanka
11423	20.88435088	44.4276124	Azanja
11424	20.94864274	44.2952643	Banicina
11425	20.80110671	44.4070367	Kusadak
11426	20.36919	44.62314	Meljak
11427	20.31307399	44.59826565	Vranić
11430	20.7343029	44.5820469	Umčari
11431	21.2452181	43.9071949	Kolari
11432	20.82832598	44.55035625	Drugovac
11433	20.7041099	44.5421372	Šepšin
11450	21.2796796	44.5114693	Sopot
11453	20.27013171	43.8012933	Rogača
11454	20.5737553	44.8969888	Sibnica
11460	20.415517	44.5781936	Barajevo
11461	20.38966744	44.5202701	Beljina
11462	20.34490324	44.53813195	Veliki Borak
11500	20.2063274	44.6585512	Obrenovac
11504	20.26676749	44.64252125	Barič
11505	20.2025	44.6825	Zabrežje
11506	20.24402801	44.58805275	Draževac
11507	20.12912609	44.58538605	Stubline
11508	21.4065807	43.1733205	Grabovac
11509	20.04428614	44.66584995	Skela
11550	20.261033	44.3815176	Lazarevac
11560	20.2819444	44.4433333	Vreoci
11561	20.2799578	44.2853204	Dudovica
11562	20.33975438	44.44983515	Junkovac
11563	20.2879783	44.476298	Veliki Crljeni
11564	20.2930075	44.5208048	Stepojevac
11565	20.3709535	44.398097	Barosevac
11566	20.4050622	44.3800988	Rudovci
11567	20.41204796	44.4349285	Mirosaljci
12000	21.1858848	44.6192797	Požarevac
12205	21.077254	44.6563033	Brezane
12206	21.24125368	44.69746775	Bradarac
12207	21.08468878	44.69556535	Dubravica
12208	21.1710906	44.7149424	Kostolac
12209	21.28876249	44.74368495	Kličevac
12220	21.5167475	44.7628106	Veliko Gradište
12221	21.3592372	44.6930977	Majilovac
12222	21.5363159	44.6997846	Braničevo
12223	21.6330096	44.6519263	Golubac
12224	21.9080139	44.6354209	Dobra
12225	21.25274684	44.6412286	Bratinac
12226	21.4442505	44.7191584	Topolovnik
12229	21.6055621	44.7111946	Vinci
12230	20.1925863	43.2845431	Brnjica
12240	21.6688893	44.4779967	Kučevo
12242	21.7291282	44.4417049	Neresnica
12253	21.4906305	44.6444917	Srednjevo
12254	21.52368791	44.5694288	Rabrovo
12255	21.2747199	44.07513995	Duboka
12256	21.7836412	44.5093882	Voluja
12258	22.36510938	43.2376137	Klenje
12300	21.4170749	44.378261	Petrovac Na Mlavi
12304	21.4747335	44.44363	Ranovac
12305	21.53567423	44.39719365	Melnica
12306	21.43056875	44.32091225	Veliko Laole
12307	21.36935372	44.2700785	Burovac
12309	21.49332672	44.25731345	Šetonje
12311	21.29109422	44.55526955	Malo Crniće
12312	21.3463162	44.6057378	Smoljinac
12313	21.38010691	44.54715195	Bozevac
12314	22.6820975	43.09360235	Veliko Selo
12315	21.3651147	44.4623211	Rašanac
12316	21.6030763	44.2613255	Krepoljin
12317	21.6690321	44.2803153	Osanica
12318	19.6932272	45.1295559	Vukovac
12320	21.786539	44.1960539	Žagubica
12321	21.843198	44.24764735	Laznica
12322	20.1223048	43.0467167	Suvi Do
12370	22.5779878	44.0826853	Aleksandrovac
12371	21.20383502	44.4920211	Vlaški Do
12372	21.10332895	43.71101365	Poljana
12373	21.17880651	44.3904225	Simićevo
12374	21.2146709	44.3567406	Žabari
12375	21.20749783	44.32078635	Porodin
14000	19.8865562	44.2707993	Valjevo
14201	19.8993916	44.3529767	Brankovina
14202	20.0064393	44.2269774	Rajković
14203	19.9014193	44.2216406	Dračić
14204	19.9917408	44.1049677	Divčibare
14205	19.827967	44.2141587	Lelić
14206	19.7281073	44.2083133	Poćuta
14207	19.533856	44.355961	Pećka
14210	20.0737772	44.456203	Ub
14211	20.1708789	44.4960532	Radljevo
14212	20.18184612	44.5191035	Brgule
14213	19.9138862	44.433998	Pambukovica
14214	19.9764144	44.55365625	Banjani
14221	19.9608173	44.2977349	Popučke
14222	19.69013047	43.3309018	Divci
14223	20.07483325	44.341357	Slovac
14224	20.1654866	44.3694107	Lajkovac
14225	20.1914594	44.32713305	Bogovadja
14226	20.98974727	44.00278615	Jabučje
14240	20.2399384	44.225332	Ljig
14242	20.0849649	44.2536046	Mionica
14243	21.471212	43.3175661	Gornja Toplica
14244	20.0600906	44.1769553	Brezde
14245	20.24822029	44.1624888	Slavkovica
14246	20.3963097	44.2485297	Belanovica
14251	19.7729201	44.2799588	Pricevic
14252	20.7017895	43.6041779	Kamenica
14253	19.6022458	44.3731035	Osečina
