CUL	LATITUDE	LONGITUDE	NAME
1000	46.0511	14.5051	Ljubljana - dostava
1001	46.0511	14.5051	Ljubljana - poštni predali
1210	46.0964	14.4697	Ljubljana Šentvid
1211	46.168	14.5217	Ljubljana-Šmartno
1215	46.1333	14.4333	Medvode
1216	46.1642	14.4325	Smlednik
1217	46.1899	14.4949	Vodice
1218	46.2048	14.5384	Komenda
1219	46.2194	14.7611	Laze v Tuhinju
1221	46.2153	14.8911	Motnik
1222	46.1883	14.8831	Trojane
1223	46.1769	14.8072	Blagovica
1225	46.1667	14.7	Lukovica
1230	46.1377	14.5937	Domžale
1231	46.1527	14.5952	Ljubljana Črnuče
1233	46.1519	14.6286	Dob
1234	46.1669	14.575	Mengeš
1235	46.1736	14.6122	Radomlje
1236	46.1333	14.5667	Trzin
1241	46.2259	14.6121	Kamnik
1242	46.2619	14.6022	Stahovica
1251	46.1369	14.745	Moravče
1252	46.12	14.8392	Vače
1260	46.0667	14.5833	Ljubljana Polje
1261	46.0333	14.5833	Ljubljana-Dobrunje
1262	46.0886	14.6008	Dol pri Ljubljani
1270	46.0586	14.8225	Litija
1272	46.0667	14.95	Polšnik
1273	46.0353	15.0189	Dole pri Litiji
1274	46.0167	15	Gabrovka
1275	46.0444	14.8442	Šmartno pri Litiji
1276	45.9717	14.9104	Primskovo
1281	46.102	14.7858	Kresnice
1282	46.0898	14.8904	Sava
1290	45.9556	14.6589	Grosuplje
1291	45.9833	14.5767	Škofljica
1292	45.9603	14.5289	Ig
1293	45.9762	14.6118	Šmarje-Sap
1294	45.9539	14.7453	Višnja Gora
1295	45.9383	14.8044	Ivančna Gorica
1296	45.95	14.8434	Šentvid pri Stični
1301	45.8813	14.7781	Krka
1303	45.8614	14.8342	Zagradec
1310	45.7386	14.7275	Ribnica
1311	45.8789	14.6153	Turjak
1312	45.85	14.6942	Videm-Dobrepolje
1313	45.7817	14.7747	Struge
1314	45.8486	14.5722	Rob
1315	45.8322	14.6364	Velike Lašče
1316	45.782	14.6753	Ortnek
1317	45.7611	14.6356	Sodražica
1318	45.8236	14.6531	Loški Potok
1319	45.9395	14.547	Draga
1330	45.6433	14.8633	Kočevje
1331	45.7061	14.7544	Dolenja vas
1332	45.6722	14.8397	Stara Cerkev
1336	45.4747	14.8692	Vas
1337	45.5278	14.6944	Osilnica
1338	45.5764	14.7969	Kočevska Reka
1351	46.0333	14.4	Brezovica pri Ljubljani
1352	45.9569	14.4189	Preserje
1353	45.9158	14.3631	Borovnica
1354	46.0236	14.2992	Horjul
1355	46.0669	14.3161	Polhov Gradec
1356	46.055	14.4172	Dobrova
1357	45.9875	14.3989	Notranje Gorice
1358	46.0167	14.3667	Log pri Brezovici
1360	45.6922	14.5028	Vrhnika
1370	45.9144	14.2258	Logatec
1371	45.9144	14.2258	Logatec
1372	45.9303	14.1422	Hotedršica
1373	45.9853	14.1775	Rovte
1380	45.7931	14.3625	Cerknica
1381	45.8133	14.3111	Rakek
1382	45.8181	14.3822	Begunje pri Cerknici
1384	45.7692	14.4222	Grahovo
1385	45.7717	14.5058	Nova vas
1386	45.7148	14.471	Stari trg pri Ložu
1410	46.1318	14.9969	Zagorje ob Savi
1411	46.15	14.95	Izlake
1412	46.1391	14.9629	Kisovec
1413	46.1792	14.9444	Čemšenik
1414	46.0714	15.0286	Podkum
1420	46.155	15.0533	Trbovlje
1423	46.1131	15.0572	Dobovec
1430	46.1461	15.0814	Hrastnik
1431	46.1419	15.1128	Dol pri Hrastniku
1432	46.0882	15.1728	Zidani Most
1433	46.0681	15.1839	Radeče
1434	46.0575	15.2072	Loka pri Zidanem Mostu
1500	46.0511	14.5051	Ljubljana
1501	46.0511	14.5051	Ljubljana
1502	46.0511	14.5051	Ljubljana
1503	46.0511	14.5051	Ljubljana
1504	46.0511	14.5051	Ljubljana
1505	46.0511	14.5051	Ljubljana
1506	46.0511	14.5051	Ljubljana
1507	46.0511	14.5051	Ljubljana
1508	46.0511	14.5051	Ljubljana
1509	46.0511	14.5051	Ljubljana
1510	46.0511	14.5051	Ljubljana
1511	46.0511	14.5051	Ljubljana
1512	46.0511	14.5051	Ljubljana
1513	46.0511	14.5051	Ljubljana
1514	46.0511	14.5051	Ljubljana
1516	46.0511	14.5051	Ljubljana
1517	46.0511	14.5051	Ljubljana
1518	46.0511	14.5051	Ljubljana
1519	46.0511	14.5051	Ljubljana
1520	46.0511	14.5051	Ljubljana
1521	46.0511	14.5051	Ljubljana
1522	46.0511	14.5051	Ljubljana
1523	46.0511	14.5051	Ljubljana
1524	46.0511	14.5051	Ljubljana
1525	46.0511	14.5051	Ljubljana
1526	46.0511	14.5051	Ljubljana
1527	46.0511	14.5051	Ljubljana
1528	46.0511	14.5051	Ljubljana
1529	46.0511	14.5051	Ljubljana
1532	46.0511	14.5051	Ljubljana
1533	46.0511	14.5051	Ljubljana
1534	46.0511	14.5051	Ljubljana
1535	46.0511	14.5051	Ljubljana
1536	46.0511	14.5051	Ljubljana
1537	46.0511	14.5051	Ljubljana
1538	46.0511	14.5051	Ljubljana
1540	46.0511	14.5051	Ljubljana
1542	46.0511	14.5051	Ljubljana
1543	46.0511	14.5051	Ljubljana
1544	46.0511	14.5051	Ljubljana
1545	46.0511	14.5051	Ljubljana
1546	46.0511	14.5051	Ljubljana
1547	46.0511	14.5051	Ljubljana
1550	46.0511	14.5051	Ljubljana
1600	46.0511	14.5051	Ljubljana
2000	46.5547	15.6467	Maribor - dostava
2001	46.5547	15.6467	Maribor - poštni predali
2201	46.6392	15.6156	Zgornja Kungota
2204	46.5058	15.6972	Miklavž na Dravskem polju
2205	46.4658	15.7672	Starše
2206	46.4525	15.7369	Marjeta na Dravskem polju
2208	46.5026	15.573	Pohorje
2211	46.6069	15.6767	Pesnica pri Mariboru
2212	46.6792	15.6532	Šentilj v Slovenskih goricah
2213	46.6753	15.7692	Zgornja Velka
2214	46.7075	15.8011	Sladki Vrh
2215	46.6992	15.6692	Ceršak
2221	46.5803	15.7438	Jarenina
2222	46.5803	15.7438	Jakobski Dol
2223	46.6064	15.7847	Jurovski Dol
2229	46.5542	15.7028	Malečnik
2230	46.5761	15.8314	Lenart v Slovenskih goricah
2231	46.58	15.7278	Pernica
2232	46.5838	15.8478	Voličina
2233	46.5838	15.8478	Sv. Ana v Slovenskih goricah
2234	46.6086	15.8883	Benedikt
2235	46.5838	15.8478	Sv. Trojica v Slovenskih goricah
2236	46.5706	15.9436	Cerkvenjak
2241	46.5031	15.7453	Spodnji Duplek
2242	46.524	15.7723	Zgornja Korena
2250	46.4201	15.8702	Ptuj
2252	46.4367	15.9536	Dornava
2253	46.5006	15.875	Destrnik
2254	46.5202	15.8866	Trnovska vas
2255	46.5275	15.9394	Vitomarci
2256	46.4847	15.9714	Juršinci
2257	46.4746	16.0031	Polenšak
2258	46.4842	16.0836	Sveti Tomaž
2259	46.4622	16.1458	Ivanjkovci
2270	46.4114	16.1544	Ormož
2272	46.4147	16.0139	Gorišnica
2273	46.4292	16.0636	Podgorci
2274	46.4178	16.1097	Velika Nedelja
2275	46.46	16.2136	Miklavž pri Ormožu
2276	46.4717	16.2508	Kog
2277	46.3942	16.2681	Središče ob Dravi
2281	46.3833	15.95	Markovci
2282	46.3441	15.9947	Cirkulane
