oed,red
1000,RES
1050,RES
1051,RES_SF
1052,RES_MF
1053,RES
1054,RES
1055,RES
1056,RES
1057,RES
1058,RES
1070,RES
1071,RES
1072,RES
1073,RES_SF
1100,COM
1101,COM_RT
1102,COM_WS
1103,COM_SV
1104,COM_SV
1105,HLT
1106,HLT_HP
1107,HLT_CL
1108,COM_EN
1109,COM_EN
1110,COM_TH
1111,COM_EN
1112,COM_EN
1113,COM_RT
1114,COM_EN
1115,COM_EN
1116,COM_EN
1117,COM_EN
1118,COM_EN
1119,COM_EN
1120,COM_RT
1121,COM_RT
1122,COM_WS
1123,COM_WS
1124,COM_SV
1150,IND
1151,IND_HV
1152,IND_LG
1153,IND_LG
1154,IND_LG
1155,IND_HV
1156,IND_HV
1157,IND_HV
1158,IND_HV
1159,IND_HV
1200,GOV
1201,GOV
1210,GOV
1211,GOV
1212,GOV
1213,GOV
1214,GOV
1215,GOV
1220,GOV
1230,EDU_UN
1231,EDU_SC
1250,GOV
1251,GOV
1252,COM
1253,COM
1254,COM
1255,COM
1256,COM
1300,COM
1301,COM
1302,COM
1303,COM
1304,COM
1305,COM
1350,GOV
1351,IND_LG
1352,IND_LG
1353,IND_LG
1354,IND_LG
1355,IND_LG
1356,IND_LG
2000,IND
2050,IND_HV
2051,IND_HV
2052,IND_HV
2053,IND_HV
2054,IND_HV
2055,IND_HV
2056,IND_HV
2057,IND_HV
2058,IND_HV
2100,IND_LG
2101,IND_LG
2102,IND_LG
2103,IND_LG
2104,IND_LG
2105,IND_LG
2106,IND_LG
2107,IND_LG
2108,IND_LG
2109,IND_LG
2110,IND_LG
2111,IND_LG
2150,IND_LG
2151,IND_LG
2152,IND_LG
2153,IND_LG
2154,IND_LG
2155,IND_LG
2200,IND
2201,IND
2202,IND
2203,IND
2204,IND
2205,IND
2206,IND
2207,IND
2208,IND
2250,IND_HV
2251,IND_HV
2252,IND_HV
2253,IND_HV
2300,IND
2301,IND
2302,IND
2303,IND
2304,IND
2305,IND
2350,IND_HV
2351,IND_HV
2352,IND_HV
2400,IND_HV
2401,IND_HV
2402,IND_HV
2403,IND_HV
2404,IND_HV
2450,IND_HV
2460,IND_HV
2461,IND_HV
2470,IND
2500,IND_HV
2505,IND
2510,IND_HV
2515,IND
2520,IND_HV
2521,IND_HV
2530,IND_HV
2531,IND
2541,IND
2542,IND
2550,IND_LG
2560,IND_LG
2600,IND_HV
2610,IND_HV
2611,IND_HV
2612,IND_HV
2613,IND_HV
2620,IND
2650,IND_HV
2700,IND
2750,IND
2760,IND
2770,IND
2780,IND
3000,IND
3001,IND_HV
3002,IND_HV
3003,IND_HV
3004,IND_HV
3005,IND_HV
3006,IND_HV
3007,IND_HV
3008,IND_HV
3009,IND_HV
3010,IND
3011,IND
3012,IND
3013,IND
3014,IND
3015,IND
3016,IND
3017,IND
3018,IND
3019,IND
3020,IND
3021,IND
3022,IND
3023,IND
3024,IND
3025,IND
3026,IND
3027,IND
3028,IND
3029,IND
3030,IND
3031,IND
