oed,red
5000,UNK
5050,W
5051,W1
5052,W2
5053,W2
5054,W
5055,W
5056,W1
5057,W
5100,M
5101,AD
5102,M1
5103,M2
5104,M2
5105,RM
5106,RM
5107,RM
5108,M
5109,RM
5110,M
5150,RC
5151,RC3
5152,RC2
5153,RC1
5154,RC1
5155,PC1
5156,PC
5157,PC2
5158,RC12
5159,RC11
5200,S
5201,S3
5202,S2
5203,S1
5204,S1
5205,S1
5206,S4
5207,S5
5208,S
5209,S
5251,RM
5252,S
5253,UNK
5254,RM
5255,S
5256,UNK
5257,RC
5258,RM
5259,W
5260,UNK
5261,RC
5262,S
5263,RM
5264,S
5265,UNK
5301,S
5302,UNK
5303,S
5304,UNK
5305,UNK
5306,UNK
5309,UNK
5310,UNK
5350,UNK
5351,UNK
5352,UNK
5353,UNK
5354,UNK
5400,RC
5401,RC
5402,RC
5403,RC
5404,RC
5405,RC
5406,RC
5407,RC
5408,RC
5409,RC
5410,RC
5451,UNK
5452,UNK
5453,UNK
5501,UNK
5502,UNK
5503,UNK
5550,UNK
5551,UNK
5552,UNK
5553,UNK
5554,UNK
5555,UNK
5556,UNK
5557,UNK
5600,UNK
5601,UNK
5602,UNK
5603,UNK
5604,UNK
5605,UNK
5606,UNK
5607,UNK
5608,UNK
5609,UNK
5610,UNK
5611,UNK
5612,UNK
5613,UNK
5614,UNK
5650,UNK
5651,UNK
5652,UNK
5653,UNK
5654,UNK
5655,UNK
5656,UNK
5657,UNK
5658,UNK
5659,UNK
5660,UNK
5661,UNK
5662,UNK
5701,UNK
5702,UNK
5703,UNK
5751,UNK
5752,UNK
5753,UNK
5754,UNK
5755,UNK
5801,UNK
5802,UNK
5803,UNK
5804,UNK
5805,UNK
5806,UNK
5807,UNK
5850,UNK
5851,UNK
5852,UNK
5853,UNK
5854,UNK
5855,UNK
5856,UNK
5857,UNK
5858,UNK
5859,UNK
5860,UNK
5861,UNK
5862,UNK
5863,UNK
5864,UNK
5865,UNK
5866,UNK
5867,UNK
5868,UNK
5869,UNK
5870,UNK
5871,UNK
5872,UNK
5873,UNK
5874,UNK
5875,UNK
5900,UNK
5901,UNK
5902,UNK
5951,UNK
5952,UNK
5953,UNK
5954,UNK
5955,UNK
5956,UNK
5957,UNK
5958,UNK
5959,S
5960,UNK
6000,UNK
6051,UNK
6052,UNK
6053,UNK
6054,UNK
6055,UNK
6056,UNK
6100,UNK
6101,UNK
6102,UNK
6103,UNK
6104,UNK
6105,UNK
6106,UNK
6150,UNK
6151,UNK
6152,UNK
6153,UNK
6154,UNK
6155,UNK
6156,UNK
7000,UNK
7001,UNK
7002,UNK
7003,UNK
7004,UNK
7005,UNK
7006,UNK
7007,UNK
7008,UNK
7009,UNK
7010,UNK
7011,UNK
7012,UNK
7013,UNK
