oed,red
1000,RES
1050,RES
1051,RES
1052,RES
1053,RES
1054,RES
1055,RES
1056,RES
1057,RES
1058,RES
1070,RES
1071,RES
1072,RES
1073,RES
1100,COM_RT
1101,COM_RT
1102,COM_WS
1103,COM_WS
1104,COM_WS
1105,HLT
1106,HTL
1107,HTL
1108,COM_EN
1109,COM_EN
1110,COM_RT
1111,COM_EN
1112,COM_EN
1113,COM_RT
1114,COM_EN
1115,COM_EN
1116,COM_EN
1117,COM_EN
1118,RES
1119,COM_EN
1120,COM_RT
1121,COM_RT
1122,COM_WS
1123,COM_WS
1124,RES
1150,IND
1151,IND_HV
1152,IND_LG
1153,IND
1154,IND
1155,IND_HV
1156,IND_HV
1157,IND_HV
1158,IND_HV
1159,IND_HV
1200,PUB
1201,PUB
1210,PUB
1211,RES
1212,RES
1213,RES
1214,RES
1215,RES
1220,PUB
1230,EDU
1231,EDU
1250,IND
1251,IND
1252,IND
1253,IND
1254,IND
1255,IND
1256,RES
1300,IND
1301,IND
1302,IND
1303,IND
1304,IND
1305,RES
1350,PUB
1351,IND_LG
1352,IND_LG
1353,IND_LG
1354,RES
1355,RES
1356,RES
2000,IND
2050,IND_HV
2051,IND_HV
2052,IND_HV
2053,IND_HV
2054,IND_HV
2055,IND_HV
2056,IND_HV
2057,IND_HV
2058,IND_HV
2100,IND_LG
2101,IND_LG
2102,IND_LG
2103,IND_LG
2104,IND_LG
2105,IND_LG
2106,IND_LG
2107,IND_LG
2108,IND_LG
2109,IND_LG
2110,IND_LG
2111,IND_LG
2150,IND_LG
2151,IND_LG
2152,IND_LG
2153,IND_LG
2154,IND_LG
2155,IND_LG
2200,IND_LG
2201,IND_LG
2202,IND_LG
2203,IND_LG
2204,IND_LG
2205,IND_LG
2206,IND_LG
2207,IND_LG
2208,IND_LG
2250,IND_HV
2251,IND_HV
2252,IND_HV
2253,IND_HV
2300,IND
2301,IND
2302,IND
2303,IND
2304,IND
2305,IND
2350,IND_HV
2351,IND_HV
2352,IND_HV
2400,IND_HV
2401,IND_HV
2402,IND_HV
2403,IND_HV
2404,IND_HV
2450,IND_HV
2460,RES
2461,RES
2470,RES
2500,IND_HV
2505,RES
2510,IND_HV
2515,RES
2520,IND_HV
2521,RES
2530,IND_HV
2531,RES
2541,RES
2542,RES
2550,IND_LG
2560,IND_LG
2600,IND_HV
2610,RES
2611,RES
2612,RES
2613,RES
2620,RES
2650,IND_HV
2700,IND
2750,IND
2760,IND
2770,IND
2780,IND
3000,IND
3001,IND_HV
3002,IND_HV
3003,IND_HV
3004,IND_HV
3005,IND_HV
3006,IND_HV
3007,IND_HV
3008,IND_HV
3009,IND_HV
3010,RES
3011,RES
3012,RES
3013,RES
3014,RES
3015,RES
3016,RES
3017,RES
3018,RES
3019,RES
3020,RES
3021,RES
3022,RES
3023,RES
3024,RES
3025,RES
3026,RES
3027,RES
3028,RES
3029,RES
3030,RES
3031,RES
